"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847576603402129782","Sat Oct 19 09:55:33 +0000 2024","0","Sambil nunggu Mas Pram datang kamu bisa foto-foto di sini dengan aneka gaya. Jangan lupa jari 3 untuk #JakartaMenyala #KagakRibetDah #UntungAdaPramDoel https://t.co/1a8KzODCvX","1847577318795202932","https://pbs.twimg.com/media/GaPpxZ0bUAIm1lJ.jpg","istrinyaabah","in","Indonesia","0","1","0","https://x.com/istrinyaabah/status/1847577318795202932","1220282100","istrinyaabah"
"1847576603402129782","Sat Oct 19 09:52:43 +0000 2024","0","Diantara Gen Z mamak juga mau dong malam mingguan sama Mas Pram dan Bang Doel di Taman Langsat. Sini yuk merapat! #JakartaMenyala #UntungAdaPramDoel https://t.co/Il0utbwKAq","1847576603402129782","https://pbs.twimg.com/media/GaPpHRAawAAtqJM.jpg","","in","Indonesia","0","1","0","https://x.com/istrinyaabah/status/1847576603402129782","1220282100","istrinyaabah"
"1847576383561880068","Sat Oct 19 09:51:50 +0000 2024","0","Pramono Anung menunjukkan dedikasi luar biasa dalam mendengarkan aspirasi masyarakat. Dengan blusukan yang dilakukannya ia tidak hanya berkeliling tetapi juga menyerap berbagai masalah yang dihadapi rakyat #JakartaMenyala https://t.co/yODtAvB2pO","1847576383561880068","https://pbs.twimg.com/media/GaPo6GLaUAAnxiG.jpg","","in","","0","0","0","https://x.com/SaguKeju8/status/1847576383561880068","1424746853346660357","SaguKeju8"
"1847576134470475913","Sat Oct 19 09:50:51 +0000 2024","2","WARGA KEBON MELATI MENYALA Bersama bersatu membuat #JakartaMenyala #PrakarUntukJakarta https://t.co/WTn2sT59Ji","1847576134470475913","https://pbs.twimg.com/ext_tw_video_thumb/1847575633368666112/pu/img/MrXh9zjvnkT4kyvv.jpg","","in","Indonesia ","0","0","4","https://x.com/JhoenRf/status/1847576134470475913","1100609875","JhoenRf"
"1847574853781737485","Sat Oct 19 09:45:46 +0000 2024","2","Pilih yg jelas dan pasti-pasti aja deh jejak digitalnya! Gw pilih Mas Pram Bang Doel ! Gw yakin pasti #JakartaMenyala ! Gw juga Optimis #pramdoelmenang ! https://t.co/OdDuehvZgp","1847574853781737485","https://pbs.twimg.com/ext_tw_video_thumb/1847574746877349891/pu/img/ZaVuHTisvuFoWnTC.jpg","","in","indonesia","0","0","2","https://x.com/LinNasution/status/1847574853781737485","1089167212638687232","LinNasution"
"1847571498409873626","Sat Oct 19 09:32:26 +0000 2024","19","Asli the Jak.. The Jak asli.. 2001 - 2024 13th masak kurang Masak kalah sm yg baru 13 Minggu (Bobotoh mendadak the Jak gegara nyagub) Yo jelas mas @pramonoanung juaranya Mas Pram Bang Doel u/ #JakartaMenyala https://t.co/2Lcdh7fCyS","1847571498409873626","https://pbs.twimg.com/ext_tw_video_thumb/1847571440922742785/pu/img/blAuTwBNLIZYCfzC.jpg","","in","","0","1","9","https://x.com/Jelli_cent/status/1847571498409873626","2669430458","Jelli_cent"
"1847571421301752001","Sat Oct 19 09:32:07 +0000 2024","0","Kagak ribet #JakartaMenyala ","1847571421301752001","","","in","Indonesia ","0","0","0","https://x.com/JhoenRf/status/1847571421301752001","1100609875","JhoenRf"
"1847571341270303222","Sat Oct 19 09:31:48 +0000 2024","3","YAKIN TUH BISA. . .??? Memang Susah Untuk Melihat Punggung Sendiri .. Segala Kelemahan dan Kekurangannya Harus Dipropagandakan Dengan Menggunakan Nama Besar . -------- PRIVILEGE -------- #JakartaMenyala Gagasan Original Tanpa Pesanan https://t.co/ysYpCVXLB4","1847571341270303222","https://pbs.twimg.com/ext_tw_video_thumb/1847571320986619904/pu/img/f49gv7ynJD2XN4hJ.jpg","","in","Solo (Bekasi Timur), Indonesia","0","1","0","https://x.com/SETYAKI22965702/status/1847571341270303222","1322361095407902721","SETYAKI22965702"
"1847571102543073474","Sat Oct 19 09:30:51 +0000 2024","3","Kalo memang Nasdem mau merapat Alhamdulilah.... #PrakarUntukJakarta #JakartaMenyala https://t.co/CzP5dVD8z3","1847571102543073474","https://pbs.twimg.com/ext_tw_video_thumb/1847570665383350277/pu/img/oXD_mrTCHhR87wXS.jpg","","in","Indonesia ","0","0","0","https://x.com/JhoenRf/status/1847571102543073474","1100609875","JhoenRf"
"1847570106261655658","Sat Oct 19 09:26:54 +0000 2024","1","Momen Mas Pram bersilaturahmi dengan Komunitas Paguyuban Warga Jakarta Asal Jawa Tengah KASMARAN yang dipimpin oleh Leles Sudarmanto di Joglo Wong Jateng Condet Balekambang JakTim. #JakartaMenyala https://t.co/g7OwMKimTx","1847570106261655658","https://pbs.twimg.com/media/GaPjNWvbUAIIGSv.jpg","","in","Indonesia","0","0","0","https://x.com/istrinyaabah/status/1847570106261655658","1220282100","istrinyaabah"
