,tweet,predict_sentiment
0,mantap jakarta fund sumber dana proyekproyek cipta lapang kerja warga jakarta jakartamenyala pramono anung jakarta fund pasu daerah http,positive
1,pilih pimpin jujur serakah harus moga pramdoel sosok pimpin percaya amanah jakartamenyala prakaruntukjakarta  ahmed al kaf portugal mulyono horeg komika http,positive
2,doel anak sekolah  jakartamenyala pramono rano http,neutral
3,acara yg mayoritas hadir generasi muda mrk harapanny mas pram kait butuh n resah mrk jakartamenyala prakaruntukjakarta adel nurul timnas fabio asher http,neutral
4,moment cagub pramono anung bincang santai dgn masyarakat dlm acara pram rano tour tebet ecopark tebet jakarta selatan sabtu  jakartamenyala prakaruntukjakarta fabio asher nurul timnas adel http,neutral
5,temu warga cipinang melayu calon gubernur mas pram strategi beres banjir daerah ideal pimpin mas pram bang doel jakarta bersih aman nyaman martabat jakartamenyala http,positive
6,ambil inspirasi film home sweet loan pramono buka ideide kreatif cari solusi jakartamenyala pramono ide ubah kantor camat huni nonton home sweet loan http,positive
7,cagub pramono anung sambang kantor majelis ulama indonesia mui jakarta agenda silaturahmi pramono syukur sempat mui jakarta gagas jakarta jakartamenyala http,neutral
8,cctv  cctv tangan tindak jahat cepat mas pramono  bang rano jakartamenyala prakaruntukjakarta  nurul fifa bahrain adel kevin diks malming jeno first pitch http,neutral
9,ide pasang cctv langkah cerdas cegah catcalling jakartamenyala terima adu wanita korban catcalling jakarta mas pram kasih laku sanksi sosial http,positive
10,ikut yukkk senam massal minggu  oktober   wib mas pram bang doel jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
11,nyemotnye kluar gas tipistipis jakartamenyala,negative
12,rekam jejak user yg jd guburnur jakarta jakartamenyala rk http,negative
13,mas prambang doel beres banjir cipinang melayu jakarta timur jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
14,calon gubernur pramono anung bincang santai masyarakat acara pram rano tour tebet ecopark tebet jakarta selatan sabtu  user user user user user user user jakartamenyala prakaruntukjakarta http,neutral
15,dukung masyarakat luas bukti pramonorano pilih pimpin jakarta jakartamenyala  organ rawan gabung ketoprak menang pramonobang doel pilkada dkj http,positive
16,percaya pimpin pramono  rano jakarta kota harmonis jakartamenyala pramonorano hadir silaturahmi himpun indonesiationghoa mangga http,positive
17,calon gubernur pramono anung amp calon wakil gubernur rano karno temu ribu rawan jakarta nyala velodrome rawamangun jakarta timur sabtu  user user user user user user jakartamenyala prakaruntukjakarta http,neutral
18,muehehe aja cak lontong pamerin batu nusantara alias watu akik salam jari jakartamenyala prakaruntukjakarta http,neutral
19,milik program baik masyarakat pramono anung pilih baik gubernur jakarta   jakartamenyala pramono bestari barus nasdem muncul agenda monggo http,positive
20,ridwan kamil ambisi jabat apa jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
21,cctv lingkung cegah kurang jahat bullying jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,negative
22,keren nich wujud jakarta aman nyaman cegah kurang jahat bullying paslon nomor pramono anungrano karno pasang cctv lingkung jakartamenyala prakaruntukjakarta http,positive
23,cagubcawagub mas prambang rano silaturahmi warga rw  ancol barat gedung olahraga ancol barat jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
24,cagub cawagub jakarta mas pram bang doel temu ribu rawan jakartamenyala velodrom rawamangun jakarta timur jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
25,cagubcawagub mas prambang doel temu warga sunter balai warga kompleks sunter papanggo jakut  jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,positive
26,cagub cawagub mas pram bang rano silaturahmi warga rw ancol barat gedung dpr olahraga ancol barat jakarta utara jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
27,cak lontong and genkss gemar berat batu nusantara dukung mas pram bang doel jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
28,optimis insyaallah paslon nomor pilkada jakarta mas pram bang doel beres banjir cipinang melayu jakartamenyala prakaruntukjakarta http,positive
